Application,Policy,Hostname,UserEmail,Result,ExitCode,LastResult,Version,LastSeen,UUID
Google Chrome,Chrome Patching,Stetsons-Mac.local,Stetson@example.com,Success,0,Success,100.0.4896,04/05/2023,B57B71FC
Google Chrome,Chrome Patching,Victorias-Mac.local,Victoria@example.com,Success,0,Success,107.0.5304,04/05/2023,FB9915CF
Google Chrome,Chrome Patching,Blakelys-Mac.local,Blakely@example.com,Waiting,1,Waiting,113.0.5672,04/05/2023,4395AF24
Google Chrome,Chrome Patching,Abels-Mac.local,Abel@example.com,Success,0,Success,112.0.5615,04/05/2023,66EA4922
Google Chrome,Chrome Patching,Raymonds-Mac.local,Raymond@example.com,Success,0,Success,109.0.5414,04/05/2023,45F9D8C1
Google Chrome,Chrome Patching,Russells-Mac.local,Russell@example.com,Success,0,Success,113.0.5672,04/05/2023,C025B03F
Google Chrome,Chrome Patching,Hugos-Mac.local,Hugo@example.com,Success,0,Success,113.0.5672,04/05/2023,F78AADBD
Google Chrome,Chrome Patching,Hendrixs-Mac.local,Hendrix@example.com,Success,0,Success,113.0.5672,04/05/2023,77FBF762
Google Chrome,Chrome Patching,Hunters-Mac.local,Hunter@example.com,Success,0,Success,112.0.5615,04/05/2023,3FE6A812
Google Chrome,Chrome Patching,Ainsleys-Mac.local,Ainsley@example.com,Waiting,1,Waiting,107.0.5304,04/05/2023,0093F6A8
Google Chrome,Chrome Patching,Zions-Mac.local,Zion@example.com,Success,0,Success,102.0.5005,04/05/2023,3C766FFA
Google Chrome,Chrome Patching,Natalias-Mac.local,Natalia@example.com,Success,0,Success,113.0.5672,04/05/2023,4015165E
Google Chrome,Chrome Patching,Ryders-Mac.local,Ryder@example.com,Success,0,Success,111.0.5563,04/05/2023,1936E07A
Google Chrome,Chrome Patching,Reigns-Mac.local,Reign@example.com,Success,0,Success,104.0.5112,04/05/2023,A5DAC923
Google Chrome,Chrome Patching,Bryans-Mac.local,Bryan@example.com,Success,0,Success,113.0.5672,04/05/2023,C56063D4
Google Chrome,Chrome Patching,Kaylanis-Mac.local,Kaylani@example.com,Success,0,Success,112.0.5615,04/05/2023,9A18DE1E
Google Chrome,Chrome Patching,Noelles-Mac.local,Noelle@example.com,Success,0,Success,113.0.5672,04/05/2023,05CFFCA6
Google Chrome,Chrome Patching,Aylas-Mac.local,Ayla@example.com,Success,0,Success,110.0.5481,04/05/2023,3362AB8D
Google Chrome,Chrome Patching,Sabrinas-Mac.local,Sabrina@example.com,Success,0,Success,113.0.5672,04/05/2023,9141502C
Google Chrome,Chrome Patching,Daxtons-Mac.local,Daxton@example.com,Success,0,Success,106.0.5249,04/05/2023,C7E2F5BE
Google Chrome,Chrome Patching,Jays-Mac.local,Jay@example.com,Success,0,Success,113.0.5672,04/05/2023,B75D6D65
Google Chrome,Chrome Patching,Liams-Mac.local,Liam@example.com,Success,0,Success,112.0.5615,04/05/2023,04B0B2E4
Google Chrome,Chrome Patching,Saylors-Mac.local,Saylor@example.com,Success,0,Success,105.0.5195,04/05/2023,85BAB8F4
Google Chrome,Chrome Patching,Alexs-Mac.local,Alex@example.com,Success,0,Success,109.0.5414,04/05/2023,CD767687
Google Chrome,Chrome Patching,Nashs-Mac.local,Nash@example.com,Success,0,Success,106.0.5249,04/05/2023,FF008BC1
Google Chrome,Chrome Patching,Finleys-Mac.local,Finley@example.com,Success,0,Success,105.0.5195,04/05/2023,B06321BF
Google Chrome,Chrome Patching,Audreys-Mac.local,Audrey@example.com,Success,0,Success,113.0.5672,04/05/2023,875ED6A2
Google Chrome,Chrome Patching,Gwendolyns-Mac.local,Gwendolyn@example.com,Success,0,Success,112.0.5615,04/05/2023,1B93FE2A
Google Chrome,Chrome Patching,Samaras-Mac.local,Samara@example.com,Success,0,Success,112.0.5615,04/05/2023,A4B8EA35
Google Chrome,Chrome Patching,Serenitys-Mac.local,Serenity@example.com,Success,0,Success,112.0.5615,04/05/2023,D3708DF0
Google Chrome,Chrome Patching,Sterlings-Mac.local,Sterling@example.com,Success,0,Success,103.0.5060,04/05/2023,9FC1A73F
Google Chrome,Chrome Patching,Lianas-Mac.local,Liana@example.com,Success,0,Success,110.0.5481,04/05/2023,6C031665
Google Chrome,Chrome Patching,Elainas-Mac.local,Elaina@example.com,Success,0,Success,112.0.5615,04/05/2023,35676FD5
Google Chrome,Chrome Patching,Malachis-Mac.local,Malachi@example.com,Success,0,Success,109.0.5414,04/05/2023,282BCF4C
Google Chrome,Chrome Patching,Naomis-Mac.local,Naomi@example.com,Success,0,Success,106.0.5249,04/05/2023,ADE95CB4
Google Chrome,Chrome Patching,Penelopes-Mac.local,Penelope@example.com,Success,0,Success,105.0.5195,04/05/2023,4ECA7F7A
Google Chrome,Chrome Patching,Eriks-Mac.local,Erik@example.com,Success,0,Success,112.0.5615,04/05/2023,F1AA3633
Google Chrome,Chrome Patching,Lucass-Mac.local,Lucas@example.com,Success,0,Success,113.0.5672,04/05/2023,1ACA027E
Google Chrome,Chrome Patching,Milas-Mac.local,Mila@example.com,Success,0,Success,112.0.5615,04/05/2023,C0E2F10E
Google Chrome,Chrome Patching,Kasons-Mac.local,Kason@example.com,Success,0,Success,106.0.5249,04/05/2023,BB3CFE82
Google Chrome,Chrome Patching,Wades-Mac.local,Wade@example.com,Waiting,1,Waiting,107.0.5304,04/05/2023,1DBF8303
Google Chrome,Chrome Patching,Kaydens-Mac.local,Kayden@example.com,Success,0,Success,109.0.5414,04/05/2023,FBD0491D
Google Chrome,Chrome Patching,Myas-Mac.local,Mya@example.com,Success,0,Success,112.0.5615,04/05/2023,7F97F4AC
Google Chrome,Chrome Patching,Raidens-Mac.local,Raiden@example.com,Success,0,Success,105.0.5195,04/05/2023,6D26855B
Google Chrome,Chrome Patching,Victors-Mac.local,Victor@example.com,Success,0,Success,110.0.5481,04/05/2023,236AEC56
Google Chrome,Chrome Patching,Owens-Mac.local,Owen@example.com,Success,0,Success,103.0.5060,04/05/2023,326297C0
Google Chrome,Chrome Patching,Carters-Mac.local,Carter@example.com,Waiting,1,Waiting,112.0.5615,04/05/2023,FF00CBDA
Google Chrome,Chrome Patching,Lukass-Mac.local,Lukas@example.com,Success,0,Success,113.0.5672,04/05/2023,EFE5AB66
Google Chrome,Chrome Patching,Gavins-Mac.local,Gavin@example.com,Success,0,Success,106.0.5249,04/05/2023,3C537FDE
Google Chrome,Chrome Patching,Zayns-Mac.local,Zayn@example.com,Waiting,1,Waiting,113.0.5672,04/05/2023,3DF9BC9E
Google Chrome,Chrome Patching,Joses-Mac.local,Jose@example.com,Success,0,Success,113.0.5672,04/05/2023,7314EB22
Google Chrome,Chrome Patching,Maddoxs-Mac.local,Maddox@example.com,Success,0,Success,107.0.5304,04/05/2023,CD3E3D71
Google Chrome,Chrome Patching,Jaxons-Mac.local,Jaxon@example.com,Success,0,Success,112.0.5615,04/05/2023,4BBCFA51
Google Chrome,Chrome Patching,Calis-Mac.local,Cali@example.com,Success,0,Success,107.0.5304,04/05/2023,8FE551DB
Google Chrome,Chrome Patching,Kaylees-Mac.local,Kaylee@example.com,Success,0,Success,105.0.5195,04/05/2023,51BED408
Google Chrome,Chrome Patching,Gaels-Mac.local,Gael@example.com,Success,0,Success,106.0.5249,04/05/2023,8C3F56A4
Google Chrome,Chrome Patching,Suttons-Mac.local,Sutton@example.com,Success,0,Success,100.0.4896,04/05/2023,52535CB7
Google Chrome,Chrome Patching,Sages-Mac.local,Sage@example.com,Success,0,Success,107.0.5304,04/05/2023,053EBCD0
Google Chrome,Chrome Patching,Jamess-Mac.local,James@example.com,Success,0,Success,110.0.5481,04/05/2023,6E0F229F
Google Chrome,Chrome Patching,Marshalls-Mac.local,Marshall@example.com,Success,0,Success,109.0.5414,04/05/2023,E25D83DA
Google Chrome,Chrome Patching,Rosemarys-Mac.local,Rosemary@example.com,Success,0,Success,104.0.5112,04/05/2023,ACB35223
Google Chrome,Chrome Patching,Logans-Mac.local,Logan@example.com,Success,0,Success,113.0.5672,04/05/2023,512BC0A5
Google Chrome,Chrome Patching,Harpers-Mac.local,Harper@example.com,Success,0,Success,113.0.5672,04/05/2023,5D9D3616
Google Chrome,Chrome Patching,Kendalls-Mac.local,Kendall@example.com,Success,0,Success,113.0.5672,04/05/2023,1B9FE246
Google Chrome,Chrome Patching,Nasirs-Mac.local,Nasir@example.com,Success,0,Success,109.0.5414,04/05/2023,6AACA12A
Google Chrome,Chrome Patching,Lorenzos-Mac.local,Lorenzo@example.com,Success,0,Success,112.0.5615,04/05/2023,CADF7A0E
Google Chrome,Chrome Patching,Summers-Mac.local,Summer@example.com,Success,0,Success,112.0.5615,04/05/2023,E5E4CF8F
Google Chrome,Chrome Patching,Walkers-Mac.local,Walker@example.com,Success,0,Success,112.0.5615,04/05/2023,30EAF232
Google Chrome,Chrome Patching,Kairos-Mac.local,Kairo@example.com,Success,0,Success,112.0.5615,04/05/2023,A7C45D2A
Google Chrome,Chrome Patching,Louiss-Mac.local,Louis@example.com,Success,0,Success,112.0.5615,04/05/2023,71EA6812
Google Chrome,Chrome Patching,Hannahs-Mac.local,Hannah@example.com,Waiting,1,Waiting,112.0.5615,04/05/2023,6A722366
Google Chrome,Chrome Patching,Emerys-Mac.local,Emery@example.com,Success,0,Success,112.0.5615,04/05/2023,C9103946
Google Chrome,Chrome Patching,Jaylas-Mac.local,Jayla@example.com,Success,0,Success,113.0.5672,04/05/2023,147B67BD
Google Chrome,Chrome Patching,Jaxsons-Mac.local,Jaxson@example.com,Success,0,Success,104.0.5112,04/05/2023,8A51D376
Google Chrome,Chrome Patching,Wesleys-Mac.local,Wesley@example.com,Success,0,Success,111.0.5563,04/05/2023,536F6EE0
Google Chrome,Chrome Patching,Edens-Mac.local,Eden@example.com,Waiting,1,Waiting,112.0.5615,04/05/2023,DCAA71F2
Google Chrome,Chrome Patching,Stephens-Mac.local,Stephen@example.com,Success,0,Success,112.0.5615,04/05/2023,93AF0276
Google Chrome,Chrome Patching,Atticuss-Mac.local,Atticus@example.com,Success,0,Success,105.0.5195,04/05/2023,4E33BB31
Google Chrome,Chrome Patching,Harleys-Mac.local,Harley@example.com,Success,0,Success,109.0.5414,04/05/2023,7DF14D6F
Google Chrome,Chrome Patching,Kenneths-Mac.local,Kenneth@example.com,Success,0,Success,112.0.5615,04/05/2023,FD2D62FB
Google Chrome,Chrome Patching,Baileys-Mac.local,Bailey@example.com,Success,0,Success,112.0.5615,04/05/2023,634E14EE
Google Chrome,Chrome Patching,Brysons-Mac.local,Bryson@example.com,Success,0,Success,112.0.5615,04/05/2023,F8FF00A6
Google Chrome,Chrome Patching,Melissas-Mac.local,Melissa@example.com,Success,0,Success,113.0.5672,04/05/2023,344187C9
Google Chrome,Chrome Patching,Ronins-Mac.local,Ronin@example.com,Success,0,Success,113.0.5672,04/05/2023,E61BBF7A
Google Chrome,Chrome Patching,Iriss-Mac.local,Iris@example.com,Success,0,Success,107.0.5304,04/05/2023,82F95940
Google Chrome,Chrome Patching,Cecilias-Mac.local,Cecilia@example.com,Waiting,1,Waiting,112.0.5615,04/05/2023,00EAAFDB
Google Chrome,Chrome Patching,Deans-Mac.local,Dean@example.com,Success,0,Success,113.0.5672,04/05/2023,35B70BBE
Google Chrome,Chrome Patching,Giovannis-Mac.local,Giovanni@example.com,Success,0,Success,112.0.5615,04/05/2023,006AC0FD
Google Chrome,Chrome Patching,Tripps-Mac.local,Tripp@example.com,Success,0,Success,109.0.5414,04/05/2023,34715AFA
Google Chrome,Chrome Patching,Lucas-Mac.local,Luca@example.com,Success,0,Success,113.0.5672,04/05/2023,49A88E3C
Google Chrome,Chrome Patching,Estebans-Mac.local,Esteban@example.com,Waiting,1,Waiting,109.0.5414,04/05/2023,9A92F7B6
Google Chrome,Chrome Patching,Oaklynns-Mac.local,Oaklynn@example.com,Success,0,Success,106.0.5249,04/05/2023,FF00FC51
Google Chrome,Chrome Patching,Rorys-Mac.local,Rory@example.com,Success,0,Success,112.0.5615,04/05/2023,5DCAFC44
Google Chrome,Chrome Patching,Maggies-Mac.local,Maggie@example.com,Success,0,Success,113.0.5672,04/05/2023,1E421562
Google Chrome,Chrome Patching,Andreas-Mac.local,Andrea@example.com,Success,0,Success,106.0.5249,04/05/2023,497B780D
Google Chrome,Chrome Patching,Lukes-Mac.local,Luke@example.com,Success,0,Success,109.0.5414,04/05/2023,B616ACA2
Google Chrome,Chrome Patching,Amoras-Mac.local,Amora@example.com,Success,0,Success,113.0.5672,04/05/2023,B500F977
Google Chrome,Chrome Patching,Collins-Mac.local,Collin@example.com,Success,0,Success,112.0.5615,04/05/2023,646E7EBF
Google Chrome,Chrome Patching,Auroras-Mac.local,Aurora@example.com,Success,0,Success,111.0.5563,04/05/2023,9A07CBEB
Google Chrome,Chrome Patching,Arias-Mac.local,Aria@example.com,Waiting,1,Waiting,109.0.5414,04/05/2023,9BE80D8A
Google Chrome,Chrome Patching,Charless-Mac.local,Charles@example.com,Waiting,1,Waiting,112.0.5615,04/05/2023,814AFF00
Google Chrome,Chrome Patching,Giannis-Mac.local,Gianni@example.com,Success,0,Success,112.0.5615,04/05/2023,CD96AE7E
Google Chrome,Chrome Patching,Grahams-Mac.local,Graham@example.com,Success,0,Success,112.0.5615,04/05/2023,56FF0087
Google Chrome,Chrome Patching,Dannas-Mac.local,Danna@example.com,Success,0,Success,112.0.5615,04/05/2023,92596CFD
Google Chrome,Chrome Patching,Everlys-Mac.local,Everly@example.com,Success,0,Success,112.0.5615,04/05/2023,CB4C1997
Google Chrome,Chrome Patching,Cades-Mac.local,Cade@example.com,Success,0,Success,105.0.5195,04/05/2023,FAD463EA
Google Chrome,Chrome Patching,Stellas-Mac.local,Stella@example.com,Success,0,Success,113.0.5672,04/05/2023,5FFCA6B8
Google Chrome,Chrome Patching,Nayelis-Mac.local,Nayeli@example.com,Success,0,Success,104.0.5112,04/05/2023,5BF352ED
Google Chrome,Chrome Patching,Eliass-Mac.local,Elias@example.com,Success,0,Success,113.0.5672,04/05/2023,D6D269EE
Google Chrome,Chrome Patching,Poppys-Mac.local,Poppy@example.com,Success,0,Success,113.0.5672,04/05/2023,3A2AB8E3
Google Chrome,Chrome Patching,Destinys-Mac.local,Destiny@example.com,Success,0,Success,105.0.5195,04/05/2023,DDBF6A21
Google Chrome,Chrome Patching,Kamerons-Mac.local,Kameron@example.com,Success,0,Success,106.0.5249,04/05/2023,58854E0A
Google Chrome,Chrome Patching,Oscars-Mac.local,Oscar@example.com,Waiting,1,Waiting,103.0.5060,04/05/2023,BD0C6877
Google Chrome,Chrome Patching,Gracelyns-Mac.local,Gracelyn@example.com,Success,0,Success,107.0.5304,04/05/2023,18F47D63
Google Chrome,Chrome Patching,Cairos-Mac.local,Cairo@example.com,Success,0,Success,111.0.5563,04/05/2023,F1CAD936
Google Chrome,Chrome Patching,Warrens-Mac.local,Warren@example.com,Success,0,Success,113.0.5672,04/05/2023,1F4D068B
Google Chrome,Chrome Patching,Becketts-Mac.local,Beckett@example.com,Success,0,Success,109.0.5414,04/05/2023,B7C7FD35
Google Chrome,Chrome Patching,Gabrielas-Mac.local,Gabriela@example.com,Success,0,Success,112.0.5615,04/05/2023,613D4D0E
Google Chrome,Chrome Patching,Marcos-Mac.local,Marco@example.com,Success,0,Success,112.0.5615,04/05/2023,2F64392E
Google Chrome,Chrome Patching,Josies-Mac.local,Josie@example.com,Success,0,Success,105.0.5195,04/05/2023,2CD00DB4
Google Chrome,Chrome Patching,Aydens-Mac.local,Ayden@example.com,Success,0,Success,112.0.5615,04/05/2023,67C26E28
Google Chrome,Chrome Patching,Briellas-Mac.local,Briella@example.com,Success,0,Success,113.0.5672,04/05/2023,2DFF00C9
Google Chrome,Chrome Patching,Malcolms-Mac.local,Malcolm@example.com,Success,0,Success,110.0.5481,04/05/2023,1454C2C1
Google Chrome,Chrome Patching,Amaris-Mac.local,Amari@example.com,Success,0,Success,113.0.5672,04/05/2023,99E49576
Google Chrome,Chrome Patching,Loreleis-Mac.local,Lorelei@example.com,Success,0,Success,109.0.5414,04/05/2023,65C6719A
Google Chrome,Chrome Patching,Leahs-Mac.local,Leah@example.com,Success,0,Success,109.0.5414,04/05/2023,3C83FE93
Google Chrome,Chrome Patching,Aubreys-Mac.local,Aubrey@example.com,Success,0,Success,109.0.5414,04/05/2023,10FC5CEA
Google Chrome,Chrome Patching,Cyruss-Mac.local,Cyrus@example.com,Success,0,Success,113.0.5672,04/05/2023,12B9FB51
Google Chrome,Chrome Patching,Reeds-Mac.local,Reed@example.com,Success,0,Success,112.0.5615,04/05/2023,F2A2AB5E
Google Chrome,Chrome Patching,Isabellas-Mac.local,Isabella@example.com,Success,0,Success,106.0.5249,04/05/2023,C27BAAD3
Google Chrome,Chrome Patching,Adalyns-Mac.local,Adalyn@example.com,Success,0,Success,113.0.5672,04/05/2023,DD496D1A
Google Chrome,Chrome Patching,Fatimas-Mac.local,Fatima@example.com,Success,0,Success,112.0.5615,04/05/2023,FF00C263
Google Chrome,Chrome Patching,Lillianas-Mac.local,Lilliana@example.com,Success,0,Success,109.0.5414,04/05/2023,2D9F6343
Google Chrome,Chrome Patching,Messiahs-Mac.local,Messiah@example.com,Success,0,Success,109.0.5414,04/05/2023,EC68173A
Google Chrome,Chrome Patching,Athenas-Mac.local,Athena@example.com,Success,0,Success,113.0.5672,04/05/2023,C0D703A9
Google Chrome,Chrome Patching,Sages-Mac.local,Sage@example.com,Success,0,Success,111.0.5563,04/05/2023,9FBD03A3
Google Chrome,Chrome Patching,Seans-Mac.local,Sean@example.com,Success,0,Success,112.0.5615,04/05/2023,DB6C1BFF
Google Chrome,Chrome Patching,Damians-Mac.local,Damian@example.com,Success,0,Success,107.0.5304,04/05/2023,8A043D27
Google Chrome,Chrome Patching,Solomons-Mac.local,Solomon@example.com,Success,0,Success,110.0.5481,04/05/2023,B45EEEA4
Google Chrome,Chrome Patching,Mavericks-Mac.local,Maverick@example.com,Success,0,Success,113.0.5672,04/05/2023,4823BF27
Google Chrome,Chrome Patching,Phoenixs-Mac.local,Phoenix@example.com,Waiting,1,Waiting,109.0.5414,04/05/2023,74B6D188
Google Chrome,Chrome Patching,Lillys-Mac.local,Lilly@example.com,Success,0,Success,113.0.5672,04/05/2023,29EDD473
Google Chrome,Chrome Patching,Kians-Mac.local,Kian@example.com,Success,0,Success,112.0.5615,04/05/2023,A21D5DD1
Google Chrome,Chrome Patching,Zoeys-Mac.local,Zoey@example.com,Success,0,Success,112.0.5615,04/05/2023,C8668942
Google Chrome,Chrome Patching,Millies-Mac.local,Millie@example.com,Success,0,Success,113.0.5672,04/05/2023,17CC6062
Google Chrome,Chrome Patching,Oakleys-Mac.local,Oakley@example.com,Success,0,Success,109.0.5414,04/05/2023,E3BFD547
Google Chrome,Chrome Patching,Talias-Mac.local,Talia@example.com,Success,0,Success,113.0.5672,04/05/2023,AFFF00A5
Google Chrome,Chrome Patching,Westons-Mac.local,Weston@example.com,Success,0,Success,113.0.5672,04/05/2023,D1D21481
Google Chrome,Chrome Patching,Rorys-Mac.local,Rory@example.com,Waiting,1,Waiting,112.0.5615,04/05/2023,A7DA90DF
Google Chrome,Chrome Patching,Dereks-Mac.local,Derek@example.com,Success,0,Success,113.0.5672,04/05/2023,1D265768
Google Chrome,Chrome Patching,Aliyahs-Mac.local,Aliyah@example.com,Success,0,Success,112.0.5615,04/05/2023,98E2A48D
Google Chrome,Chrome Patching,Calebs-Mac.local,Caleb@example.com,Success,0,Success,113.0.5672,04/05/2023,17638689
Google Chrome,Chrome Patching,Aris-Mac.local,Ari@example.com,Success,0,Success,103.0.5060,04/05/2023,DC8FAEE1
Google Chrome,Chrome Patching,Giannas-Mac.local,Gianna@example.com,Success,0,Success,105.0.5195,04/05/2023,17F4A9B3
Google Chrome,Chrome Patching,Brooklynns-Mac.local,Brooklynn@example.com,Success,0,Success,111.0.5563,04/05/2023,DA14DBF3
Google Chrome,Chrome Patching,Evies-Mac.local,Evie@example.com,Success,0,Success,112.0.5615,04/05/2023,96F5C9AE
Google Chrome,Chrome Patching,Vivians-Mac.local,Vivian@example.com,Success,0,Success,112.0.5615,04/05/2023,D86DEACF
Google Chrome,Chrome Patching,Camillas-Mac.local,Camilla@example.com,Success,0,Success,113.0.5672,04/05/2023,AD0F56EB
Google Chrome,Chrome Patching,Pedros-Mac.local,Pedro@example.com,Success,0,Success,113.0.5672,04/05/2023,D9658EF5
Google Chrome,Chrome Patching,Reagans-Mac.local,Reagan@example.com,Success,0,Success,112.0.5615,04/05/2023,DBEFED40
Google Chrome,Chrome Patching,Laylas-Mac.local,Layla@example.com,Success,0,Success,112.0.5615,04/05/2023,B7499371
Google Chrome,Chrome Patching,Spencers-Mac.local,Spencer@example.com,Success,0,Success,113.0.5672,04/05/2023,FF0037FE
Google Chrome,Chrome Patching,Jazlyns-Mac.local,Jazlyn@example.com,Success,0,Success,111.0.5563,04/05/2023,A0FB0C1F
Google Chrome,Chrome Patching,Elianas-Mac.local,Eliana@example.com,Success,0,Success,113.0.5672,04/05/2023,22460D12
Google Chrome,Chrome Patching,Brynlees-Mac.local,Brynlee@example.com,Waiting,1,Waiting,105.0.5195,04/05/2023,5722D570
Google Chrome,Chrome Patching,Journees-Mac.local,Journee@example.com,Success,0,Success,112.0.5615,04/05/2023,BA96F3B0
Google Chrome,Chrome Patching,Raelyns-Mac.local,Raelyn@example.com,Success,0,Success,103.0.5060,04/05/2023,7BD1BF1D
